partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
longtemps,long time
heures,hours
vont,will
pendant,while
place,square
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
perdu,lost
main,hand
première,first
pouvoir,power
matin,morning
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
aimerais,would like to
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
